game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,arm,q_ref_mean,q_best,regret
7977,6,14,AllGrid,3,200,10,42,46,"Hit(CW,3,MIDDLE)",17586,1414.03,A1,-3.235,-1.635,1.5999999999999999
3926,6,11,AllGrid,3,200,10,42,39,"Hit(CCW,0,STRONG)",62324,3862.89,A1,-1.615,0.425,2.04
3883,1,14,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",1014,53.7248,A1,-0.29,-0.075,0.21499999999999997
9222,7,5,AllGrid,3,200,10,42,17,"Draw(CCW,L3)",123674,4312.7,A1,1.315,1.315,0.0
7881,2,15,AllGrid,3,200,10,42,84,"Hit(CW,12,WEAK)",129,9.30965,A1,0.285,1.72,1.435
6406,1,10,AllGrid,3,200,10,42,2,"Draw(CW,S0)",58176,2448.57,A1,-0.7,-0.385,0.31499999999999995
8452,5,15,AllGrid,3,200,10,42,34,"Hit(CW,0,WEAK)",153,13.7807,A1,1.32,1.935,0.615
1028,6,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",151,13.5833,A1,0.77,1.0,0.22999999999999998
2596,1,14,AllGrid,3,200,10,42,86,"Hit(CW,11,MIDDLE)",17420,1434.62,A1,0.65,1.97,1.3199999999999998
4748,1,3,AllGrid,3,200,10,42,42,"PostGuard(CW,3,0)",157345,5608.91,A1,0.75,0.985,0.235
9206,3,13,AllGrid,3,200,10,42,34,"Hit(CW,12,WEAK)",11157,705.979,A1,1.73,1.73,0.0
5859,1,6,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",117797,4710.57,A1,-0.015,-0.015,0.0
6871,4,5,AllGrid,3,200,10,42,58,"PostGuard(CW,3,0)",133485,5275.3,A1,0.885,1.32,0.43500000000000005
7163,3,13,AllGrid,3,200,10,42,63,"Hit(CCW,12,TOUCH)",22700,1439.19,A1,1.84,2.465,0.6249999999999998
5807,0,8,AllGrid,3,200,10,42,73,"PostGuard(CCW,4,2)",94985,4152.92,A1,-0.015,0.03,0.045
5567,2,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",129,10.3853,A1,1.535,1.93,0.395
2507,3,11,AllGrid,3,200,10,42,43,"Hit(CCW,4,STRONG)",55506,3041.41,A1,0.45,1.715,1.2650000000000001
7006,3,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",145,13.706,A1,-1.0,-0.97,0.030000000000000027
1984,6,4,AllGrid,3,200,10,42,37,"Hit(CCW,1,MIDDLE)",144072,5499.66,A1,-0.645,-0.31,0.335
1845,7,14,AllGrid,3,200,10,42,48,"PostGuard(CW,12,0)",2935,189.284,A1,1.005,1.44,0.43500000000000005
5780,2,6,AllGrid,3,200,10,42,29,"PreGuard(CCW,G4)",112099,4151.28,A1,-0.51,-0.375,0.135
8645,7,5,AllGrid,3,200,10,42,34,"Hit(CW,0,WEAK)",133163,5392.52,A1,0.92,0.92,0.0
6132,0,13,AllGrid,3,200,10,42,2,"Draw(CW,S0)",22968,1539.56,A1,1.915,2.62,0.7050000000000001
3339,4,10,AllGrid,3,200,10,42,43,"Hit(CCW,9,TOUCH)",63881,2856.6,A1,-0.705,-0.305,0.39999999999999997
3566,6,14,AllGrid,3,200,10,42,56,"Hit(CW,7,MIDDLE)",13524,1202.16,A1,0.34,1.01,0.6699999999999999
5523,3,9,AllGrid,3,200,10,42,55,"Hit(CCW,4,WEAK)",84080,4308.29,A1,0.74,0.74,0.0
7015,5,14,AllGrid,3,200,10,42,46,"Hit(CW,3,MIDDLE)",17576,1564.76,A1,-3.285,-1.135,2.1500000000000004
743,7,3,AllGrid,3,200,10,42,1,"Draw(CCW,TEE)",158239,5897.8,A1,0.59,0.98,0.39
1014,4,15,AllGrid,3,200,10,42,10,"Draw(CW,L0)",61,3.33136,A1,3.325,3.325,0.0
3900,0,10,AllGrid,3,200,10,42,38,"Hit(CW,9,STRONG)",57396,2369.1,A1,-0.275,0.305,0.5800000000000001
4543,6,5,AllGrid,3,200,10,42,6,"Draw(CW,S4)",133670,5298.96,A1,0.895,1.09,0.19500000000000006
9231,5,14,AllGrid,3,200,10,42,7,"Draw(CCW,S4)",7737,538.021,A1,1.805,2.025,0.21999999999999997
1825,5,7,AllGrid,3,200,10,42,53,"PostGuard(CCW,1,0)",105656,4576.54,A1,0.865,0.865,0.0
4062,4,15,AllGrid,3,200,10,42,35,"Hit(CCW,2,WEAK)",117,8.64169,A1,-1.275,-0.475,0.7999999999999999
9882,2,11,AllGrid,3,200,10,42,56,"Hit(CW,6,MIDDLE)",58524,3394.56,A1,0.37,1.295,0.9249999999999999
